old_course_code,new_course_code
1003,C000001
1004,C000002
1005,C000003
1006,C000004
1007,C000005
1010,C000006
1011,C000007
1012,C000008
1013,C000009
1014,C000010
1018,C000011
1019,C000012
1020,C000013
1021,C000014
1022,C000015
1024,C000016
1025,C000017
1026,C000018
1027,C000019
1028,C000020
1029,C000021
1030,C000022
1032,C000023
1033,C000024
1034,C000025
1036,C000026
1037,C000027
1038,C000028
1039,C000029
1040,C000030
1042,C000031
1043,C000032
1044,C000033
1045,C000034
1046,C000035
1047,C000036
1048,C000037
1049,C000038
1051,C000039
1052,C000040
1053,C000041
1054,C000042
1055,C000043
1056,C000044
1057,C000045
1058,C000046
1059,C000047
1060,C000048
1061,C000049
1062,C000050
1063,C000051
1064,C000052
1065,C000053
1066,C000054
1067,C000055
1068,C000056
1069,C000057
1070,C000058
1071,C000059
1072,C000060
1073,C000061
1074,C000062
1075,C000063
1076,C000064
1077,C000065
1078,C000066
1079,C000067
1080,C000068
1081,C000069
1082,C000070
1083,C000071
1084,C000072
1085,C000073
1087,C000074
1088,C000075
1089,C000076
1090,C000077
1091,C000078
1092,C000079
1093,C000080
1095,C000081
1096,C000082
1100,C000083
1101,C000084
1102,C000085
1103,C000086
1104,C000087
1105,C000088
1106,C000089
1107,C000090
1108,C000091
1109,C000092
1110,C000093
1111,C000094
1112,C000095
1113,C000096
1114,C000097
1115,C000098
1116,C000099
1120,C000100
1122,C000101
1123,C000102
1125,C000103
1129,C000104
1134,C000105
1135,C000106
1136,C000107
1137,C000108
1138,C000109
1139,C000110
1140,C000111
1144,C000112
1145,C000113
1146,C000114
1147,C000115
1148,C000116
1149,C000117
1150,C000118
1151,C000119
1152,C000120
1153,C000121
1154,C000122
1155,C000123
1159,C000124
1163,C000125
1165,C000126
1167,C000127
1168,C000128
1169,C000129
1170,C000130
1172,C000131
1174,C000132
1175,C000133
1176,C000134
1177,C000135
1178,C000136
1179,C000137
1180,C000138
1181,C000139
1182,C000140
1183,C000141
1184,C000142
1185,C000143
1186,C000144
1187,C000145
1188,C000146
1189,C000147
1190,C000148
1191,C000149
1194,C000150
1196,C000151
1197,C000152
1198,C000153
1199,C000154
1200,C000155
1201,C000156
1202,C000157
1203,C000158
1204,C000159
1205,C000160
1207,C000161
1208,C000162
1209,C000163
1211,C000164
1212,C000165
1213,C000166
1214,C000167
1215,C000168
1216,C000169
1217,C000170
1218,C000171
1219,C000172
1220,C000173
1221,C000174
1222,C000175
1223,C000176
1224,C000177
1225,C000178
1226,C000179
1227,C000180
1228,C000181
1230,C000182
1231,C000183
1233,C000184
1234,C000185
1235,C000186
1236,C000187
1237,C000188
1238,C000189
1239,C000190
1240,C000191
1241,C000192
1242,C000193
1243,C000194
1244,C000195
1246,C000196
1247,C000197
1248,C000198
1249,C000199
1251,C000200
1252,C000201
1253,C000202
1254,C000203
1255,C000204
1256,C000205
1257,C000206
1258,C000207
1263,C000208
1264,C000209
1269,C000210
1272,C000211
1273,C000212
1274,C000213
1275,C000214
1276,C000215
1277,C000216
1278,C000217
1279,C000218
1302,C000219
1303,C000220
1311,C000221
1349,C000222
1366,C000223
1393,C000224
1395,C000225
1407,C000226
1437,C000227
1451,C000228
1455,C000229
1460,C000230
1462,C000231
1514,C000232
1647,C000233
1662,C000234
1684,C000235
1688,C000236
1711,C000237
1771,C000238
1876,C000239
1918,C000240
1928,C000241
1931,C000242
1938,C000243
1984,C000244
1986,C000245
2005,C000246
2006,C000247
2007,C000248
2008,C000249
2009,C000250
2010,C000251
2011,C000252
2013,C000253
2014,C000254
2016,C000255
2017,C000256
2018,C000257
2019,C000258
2020,C000259
2021,C000260
2022,C000261
2024,C000262
2025,C000263
2026,C000264
2027,C000265
2028,C000266
2030,C000267
3001,C000268
3002,C000269
3003,C000270
3004,C000271
3009,C000272
3010,C000273
3013,C000274
3014,C000275
3016,C000276
3017,C000277
3018,C000278
3019,C000279
3020,C000280
3021,C000281
3023,C000282
3024,C000283
3025,C000284
3026,C000285
3027,C000286
3028,C000287
3029,C000288
3030,C000289
3031,C000290
3032,C000291
3033,C000292
3034,C000293
3035,C000294
3036,C000295
3037,C000296
3038,C000297
3039,C000298
3040,C000299
3041,C000300
3042,C000301
3043,C000302
3044,C000303
3045,C000304
3046,C000305
3047,C000306
3048,C000307
3049,C000308
4003,C000309
4004,C000310
4005,C000311
4006,C000312
4007,C000313
4008,C000314
4009,C000315
4010,C000316
4011,C000317
4012,C000318
4013,C000319
4014,C000320
4015,C000321
4016,C000322
4018,C000323
4019,C000324
4020,C000325
4022,C000326
4023,C000327
4024,C000328
4025,C000329
4026,C000330
4027,C000331
4028,C000332
4032,C000333
4033,C000334
4034,C000335
4035,C000336
4037,C000337
4038,C000338
4039,C000339
4040,C000340
4041,C000341
4042,C000342
4043,C000343
4044,C000344
4048,C000345
4049,C000346
4050,C000347
4051,C000348
4053,C000349
4054,C000350
4057,C000351
4058,C000352
5001,C000353
5002,C000354
5003,C000355
5004,C000356
5005,C000357
5006,C000358
5007,C000359
5009,C000360
5010,C000361
5011,C000362
5012,C000363
5013,C000364
5014,C000365
5015,C000366
5016,C000367
5017,C000368
5018,C000369
5019,C000370
5020,C000371
5021,C000372
5024,C000373
6001,C000374
6002,C000375
6003,C000376
6004,C000377
6006,C000378
6007,C000379
6008,C000380
6009,C000381
6010,C000382
6012,C000383
6013,C000384
6014,C000385
6016,C000386
6017,C000387
6018,C000388
6019,C000389
6067,C000390
6084,C000391
6142,C000392
6198,C000393
6219,C000394
6220,C000395
6229,C000396
6248,C000397
6307,C000398
6343,C000399
6347,C000400
6377,C000401
6378,C000402
6384,C000403
6388,C000404
6389,C000405
6463,C000406
6485,C000407
6486,C000408
6652,C000409
6658,C000410
6659,C000411
6664,C000412
6670,C000413
6682,C000414
6686,C000415
6693,C000416
6708,C000417
6772,C000418
6774,C000419
6791,C000420
6805,C000421
7002,C000422
7003,C000423
7005,C000424
7006,C000425
7009,C000426
7010,C000427
7011,C000428
7020,C000429
7021,C000430
7024,C000431
7025,C000432
7026,C000433
7027,C000434
7028,C000435
7029,C000436
7033,C000437
7036,C000438
7040,C000439
7043,C000440
7051,C000441
7057,C000442
7064,C000443
7065,C000444
7066,C000445
7067,C000446
7069,C000447
7070,C000448
7071,C000449
7072,C000450
7073,C000451
7074,C000452
7075,C000453
7076,C000454
