id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,parSource,parTeeName,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000913,新千歳カントリークラブ,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000887,札幌北広島ゴルフ倶楽部,,1,54,,,90,,,,,,,,,,,,,,,,,,,,
C000984,ユニ東武ゴルフクラブ,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000903,サンパーク札幌ゴルフコース,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000878,グレート札幌カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000978,苫小牧ゴルフリゾート７２　エミナゴルフクラブ,,1,54,,,90,,,,,,,,,,,,,,,,,,,,
C000912,千歳カントリークラブ（北海道）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000968,早来カントリー倶楽部,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000924,樽前カントリークラブ【アコーディア・ゴルフ】,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000925,チサンカントリークラブ銭凾,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000945,ニドムクラシックコース,,1,45,,,90,,,,,,,,,,,,,,,,,,,,
C000918,グランド札幌カントリークラブ（旧：大札幌カントリークラブ）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000977,苫小牧ゴルフリゾート７２　アイリスゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000946,ニューしのつゴルフ場,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000880,札幌リージェントゴルフ倶楽部　トムソンコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000988,ＳＩＲル・ペタウゴルフコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000879,札幌リージェントゴルフ倶楽部,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000910,札幌スコットヒルゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000986,アロハリゾート,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000842,ゴルフ５カントリー美唄コース　（旧：アルペンゴルフクラブ　美唄コース）,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000970,北海道リンクスカントリー倶楽部　美唄コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000896,ゴールド札幌カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000940,南幌リバーサイドゴルフ場,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C005249,カイトアンドフォックスカントリークラブ（閉鎖）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000893,新札幌台ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000989,シャトレーゼカントリークラブ　栗山,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000872,クラークカントリークラブ,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000927,北海道リバーヒルゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000973,シャトレーゼカントリークラブマサリカップ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
