region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
北海道,Northern Arc GC,Northern Arc Golf Club,C000057,out+in,5,3,4,4,5,4,4,3,4,4,4,3,5,4,4,4,3,5,
北海道,SIRﾙ･ﾍﾟﾀｳGCｳｯﾄﾞ,SIRル・ペタウゴルフコースウッドランド,C000150,all,4,5,4,4,3,4,3,4,5,,,,,,,,,,
北海道,SIRﾙ･ﾍﾟﾀｳGCﾃﾞｭｰﾝ,SIRル・ペタウゴルフコースデューンズ,C000151,all,5,4,3,4,4,3,4,4,5,,,,,,,,,,
北海道,阿寒CC丹頂,阿寒カントリークラブ丹頂コース,C000187,all,5,4,4,3,4,5,4,3,4,,,,,,,,,,
北海道,阿寒CCピリカ,阿寒カントリークラブピリカコース,C000185,all,5,4,4,3,4,4,5,3,4,,,,,,,,,,
北海道,阿寒CCまりも,阿寒カントリークラブまりもコース,C000186,all,5,4,3,4,4,4,5,3,4,,,,,,,,,,
北海道,旭川GC,旭川ゴルフ倶楽部,C000001,out+in,4,4,5,3,4,3,4,4,4,4,4,3,4,4,4,4,3,5,
北海道,旭川国際CC,旭川国際カントリークラブ,C000004,out+in,5,4,3,4,5,4,4,3,4,4,4,4,3,5,4,3,4,5,
北海道,旭川たかすGC,旭川たかすゴルフクラブ,C000002,out+in,5,4,4,3,4,4,3,5,4,4,3,4,4,5,4,4,3,5,
北海道,旭川ﾒﾓﾘｱﾙCC,旭川メモリアルカントリークラブ,C000003,out+in,4,4,5,4,3,4,4,3,5,4,4,5,3,4,4,5,3,4,
北海道,網走CC,網走カントリークラブ,C000005,all,4,3,5,3,4,4,4,4,4,,,,,,,,,,
北海道,安平GC,安平ゴルフ倶楽部,C000026,out+in,5,3,4,4,4,3,4,4,5,4,5,4,5,3,4,3,4,4,
