region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
,アークよかわゴルフ倶楽部【ＰＧＭ】,OUT,C004508,,5,3,4,5,4,4,3,4,4,,,,,,,,,,
,アークよかわゴルフ倶楽部【ＰＧＭ】,IN,C004508,,5,4,4,5,4,3,4,4,3,,,,,,,,,,
,相生カントリー倶楽部,OUT,C004505,,4,3,5,4,4,3,4,4,5,,,,,,,,,,
,相生カントリー倶楽部,IN,C004505,,4,4,3,5,4,4,3,5,4,,,,,,,,,,
,青野運動公苑アオノゴルフコース,OUT,C004509,,4,3,4,5,4,5,4,3,4,,,,,,,,,,
,青野運動公苑アオノゴルフコース,IN,C004509,,4,5,3,4,4,5,3,4,4,,,,,,,,,,
,青山ゴルフクラブ,OUT,C004510,,4,4,4,5,3,4,4,3,5,,,,,,,,,,
,青山ゴルフクラブ,IN,C004510,,4,3,4,3,5,4,5,4,4,,,,,,,,,,
,青山台ゴルフ倶楽部,OUT,C004511,,4,5,4,4,3,4,4,3,5,,,,,,,,,,
,青山台ゴルフ倶楽部,IN,C004511,,4,4,5,3,5,4,4,3,4,,,,,,,,,,
,明石ゴルフ倶楽部,OUT,C004512,,5,3,4,4,3,3,5,4,5,,,,,,,,,,
,明石ゴルフ倶楽部,IN,C004512,,4,4,3,5,4,4,4,3,5,,,,,,,,,,
,赤穂カンツリークラブ,OUT,C004513,,4,3,5,4,4,3,4,5,4,,,,,,,,,,
,赤穂カンツリークラブ,IN,C004513,,4,3,4,4,5,4,5,3,4,,,,,,,,,,
,赤穂国際カントリークラブ,OUT,C004514,,4,5,4,3,5,4,4,3,4,,,,,,,,,,
,赤穂国際カントリークラブ,IN,C004514,,5,3,4,4,4,4,4,5,3,,,,,,,,,,
,旭国際宝塚カンツリー倶楽部,OUT,C004515,,4,3,5,3,4,4,5,3,4,,,,,,,,,,
,旭国際宝塚カンツリー倶楽部,IN,C004515,,4,4,5,3,4,4,4,3,5,,,,,,,,,,
,旭国際姫路ゴルフ倶楽部,OUT,C004517,,5,4,3,4,3,4,4,5,4,,,,,,,,,,
,旭国際姫路ゴルフ倶楽部,IN,C004517,,5,4,4,3,5,4,4,3,4,,,,,,,,,,
,愛宕原ゴルフ倶楽部【アコーディア・ゴルフ】,東コース,C004519,,5,4,4,4,3,5,4,3,4,,,,,,,,,,
,愛宕原ゴルフ倶楽部【アコーディア・ゴルフ】,中コース,C004519,,4,4,4,4,3,5,4,3,4,,,,,,,,,,
,愛宕原ゴルフ倶楽部【アコーディア・ゴルフ】,西コース,C004519,,5,4,3,4,5,3,4,3,4,,,,,,,,,,
,有馬カンツリー倶楽部,OUT,C004520,,4,4,5,3,4,3,4,5,4,,,,,,,,,,
,有馬カンツリー倶楽部,IN,C004520,,4,5,4,4,3,4,4,3,5,,,,,,,,,,
,有馬冨士カンツリークラブ,OUT,C004521,,5,4,4,3,4,4,4,3,5,,,,,,,,,,
,有馬冨士カンツリークラブ,IN,C004521,,5,4,4,3,5,4,4,3,4,,,,,,,,,,
,有馬ロイヤルゴルフクラブ,ロイヤルコースOUT,C004522,,5,4,4,3,4,3,5,4,4,,,,,,,,,,
,有馬ロイヤルゴルフクラブ,ロイヤルコースIN,C004522,,5,4,4,4,3,5,4,3,4,,,,,,,,,,
,有馬ロイヤルゴルフクラブ,ノーブルコースOUT,C004522,,5,4,3,4,3,4,3,4,5,,,,,,,,,,
,有馬ロイヤルゴルフクラブ,ノーブルコースIN,C004522,,4,4,5,3,4,4,5,3,5,,,,,,,,,,
,粟賀ゴルフ倶楽部,OUT,C004523,,5,4,3,4,4,5,3,4,4,,,,,,,,,,
,粟賀ゴルフ倶楽部,IN,C004523,,4,3,4,4,5,4,3,4,5,,,,,,,,,,
,淡路カントリー倶楽部,OUT,C004524,,4,4,5,3,4,3,5,4,4,,,,,,,,,,
,淡路カントリー倶楽部,IN,C004524,,4,3,5,4,5,4,3,4,4,,,,,,,,,,
