region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
,宇治カントリークラブ,OUT,C004436,,5,4,3,5,4,4,4,3,4,,,,,,,,,,
,宇治カントリークラブ,IN,C004436,,4,5,3,5,4,4,3,4,4,,,,,,,,,,
,宇治田原カントリー倶楽部,嘉納コース,C004437,,4,5,3,4,4,5,4,3,4,,,,,,,,,,
,宇治田原カントリー倶楽部,大杉コース,C004437,,4,5,4,3,4,3,4,4,5,,,,,,,,,,
,宇治田原カントリー倶楽部,大福コース,C004437,,4,4,3,5,4,3,4,5,4,,,,,,,,,,
,かさぎゴルフ倶楽部【ＰＧＭ】,OUT,C004465,,5,4,4,3,4,3,4,4,5,,,,,,,,,,
,かさぎゴルフ倶楽部【ＰＧＭ】,IN,C004465,,4,4,3,4,5,4,3,5,4,,,,,,,,,,
,亀岡カントリークラブ,OUT,C004438,,5,4,3,4,4,4,3,5,4,,,,,,,,,,
,亀岡カントリークラブ,IN,C004438,,4,4,3,5,4,4,3,4,5,,,,,,,,,,
,亀岡ゴルフクラブ【アコーディア・ゴルフ】,OUT,C004439,,4,4,3,5,3,4,4,4,5,,,,,,,,,,
,亀岡ゴルフクラブ【アコーディア・ゴルフ】,IN,C004439,,5,4,4,3,4,4,5,3,4,,,,,,,,,,
,加茂カントリークラブ（京都府）【アコーディア・ゴルフ】,東OUTコース,C004440,,4,4,4,3,4,5,3,5,4,,,,,,,,,,
,加茂カントリークラブ（京都府）【アコーディア・ゴルフ】,東INコース,C004440,,4,5,3,4,4,4,3,5,4,,,,,,,,,,
,加茂カントリークラブ（京都府）【アコーディア・ゴルフ】,西OUTコース,C004440,,4,5,4,4,4,3,4,3,5,,,,,,,,,,
,加茂カントリークラブ（京都府）【アコーディア・ゴルフ】,西INコース,C004440,,4,4,3,4,4,5,4,3,5,,,,,,,,,,
,加舎の里カントリー,OUT,C004441,,4,4,3,3,4,4,5,3,4,,,,,,,,,,
,加舎の里カントリー,IN,C004441,,4,5,3,4,3,5,4,3,5,,,,,,,,,,
,関西カントリークラブ,OUT,C004442,,5,4,4,3,4,4,3,4,5,,,,,,,,,,
,関西カントリークラブ,IN,C004442,,4,4,5,3,4,3,5,4,4,,,,,,,,,,
,京都大原パブリックコース,OUT,C004444,,4,4,3,4,3,4,5,4,5,,,,,,,,,,
,京都大原パブリックコース,IN,C004444,,4,5,3,4,4,3,4,5,4,,,,,,,,,,
,京都ゴルフ倶楽部　舟山コース,OUT,C004447,,4,4,3,5,4,3,4,4,3,,,,,,,,,,
,京都ゴルフ倶楽部　舟山コース,IN,C004447,,4,3,4,4,3,4,3,4,3,,,,,,,,,,
,協和ゴルフクラブ【アコーディア・ゴルフ】,OUT,C004448,,4,5,4,4,3,4,3,4,5,,,,,,,,,,
,協和ゴルフクラブ【アコーディア・ゴルフ】,IN,C004448,,5,3,5,4,3,4,4,4,4,,,,,,,,,,
,久美浜カンツリークラブ,OUT,C004449,,4,5,4,3,4,3,5,4,4,,,,,,,,,,
,久美浜カンツリークラブ,IN,C004449,,3,5,4,5,3,4,4,4,4,,,,,,,,,,
,クラウンヒルズ京都ゴルフ倶楽部,OUT,C004450,,5,4,4,4,3,4,3,4,5,,,,,,,,,,
,クラウンヒルズ京都ゴルフ倶楽部,IN,C004450,,4,5,3,4,4,4,3,4,5,,,,,,,,,,
,グランベール京都ゴルフ倶楽部【アコーディア・ゴルフ】,イーストコースOUT,C004451,,5,4,4,3,4,4,3,5,4,,,,,,,,,,
,グランベール京都ゴルフ倶楽部【アコーディア・ゴルフ】,イーストコースIN,C004451,,5,3,4,4,5,4,4,3,4,,,,,,,,,,
,グランベール京都ゴルフ倶楽部【アコーディア・ゴルフ】,ウエストコースOUT,C004451,,5,4,3,5,4,3,4,4,4,,,,,,,,,,
,グランベール京都ゴルフ倶楽部【アコーディア・ゴルフ】,ウエストコースIN,C004451,,4,5,4,3,4,5,3,4,4,,,,,,,,,,
,太閤坦カントリークラブ,OUT,C004453,,4,4,3,5,4,4,4,4,4,,,,,,,,,,
