region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
,朝日野カントリー倶楽部,OUT,C004394,,5,4,3,4,4,5,4,3,4,,,,,,,,,,
,朝日野カントリー倶楽部,IN,C004394,,4,4,3,5,4,5,4,3,4,,,,,,,,,,
,朝宮ゴルフコース【アコーディア・ゴルフ】,OUT,C004395,,4,5,3,4,5,4,4,3,4,,,,,,,,,,
,朝宮ゴルフコース【アコーディア・ゴルフ】,IN,C004395,,5,4,3,4,5,4,3,4,4,,,,,,,,,,
,皇子山カントリークラブ,OUT,C004397,,4,3,3,4,5,4,4,4,4,,,,,,,,,,
,皇子山カントリークラブ,IN,C004397,,4,4,3,5,3,4,3,5,5,,,,,,,,,,
,近江カントリー倶楽部,OUT,C004398,,4,4,3,4,5,3,5,4,4,,,,,,,,,,
,近江カントリー倶楽部,IN,C004398,,4,4,3,4,4,3,4,5,5,,,,,,,,,,
,近江ヒルズゴルフ倶楽部【ＰＧＭ】,ささゆり,C004399,,5,4,3,4,4,5,4,4,3,,,,,,,,,,
,近江ヒルズゴルフ倶楽部【ＰＧＭ】,こぶし,C004399,,4,5,4,3,4,4,4,3,5,,,,,,,,,,
,近江ヒルズゴルフ倶楽部【ＰＧＭ】,しゃくなげ,C004399,,4,4,4,3,4,5,4,3,5,,,,,,,,,,
,大津カントリークラブ 西コース【アコーディア・ゴルフ】,OUT,C004400,,5,3,4,5,4,4,3,4,4,,,,,,,,,,
,大津カントリークラブ 西コース【アコーディア・ゴルフ】,IN,C004400,,4,5,3,4,5,4,4,3,4,,,,,,,,,,
,大津カントリークラブ 東コース【アコーディア・ゴルフ】,南郷コース,C004401,,4,5,4,3,4,5,4,3,4,,,,,,,,,,
,大津カントリークラブ 東コース【アコーディア・ゴルフ】,天ヶ瀬コース,C004401,,5,3,4,4,5,3,4,4,4,,,,,,,,,,
,大津カントリークラブ 東コース【アコーディア・ゴルフ】,石山コース,C004401,,4,4,4,5,3,5,4,3,4,,,,,,,,,,
,オレンジシガカントリークラブ,OUT,C004402,,4,3,4,5,4,3,5,4,4,,,,,,,,,,
,オレンジシガカントリークラブ,IN,C004402,,4,4,3,4,4,5,3,5,4,,,,,,,,,,
,蒲生ゴルフ倶楽部（滋賀県）,比良コース,C004403,,5,4,3,4,4,5,4,3,4,,,,,,,,,,
,蒲生ゴルフ倶楽部（滋賀県）,伊吹コース,C004403,,4,4,3,4,5,4,3,4,5,,,,,,,,,,
,蒲生ゴルフ倶楽部（滋賀県）,鈴鹿コース,C004403,,5,3,4,4,3,4,4,4,5,,,,,,,,,,
,朽木ゴルフ倶楽部,アウト,C004404,,4,5,3,4,4,4,3,4,5,,,,,,,,,,
,朽木ゴルフ倶楽部,イン,C004404,,4,4,3,4,4,5,3,4,4,,,,,,,,,,
,京阪カントリー倶楽部,大石コース,C004405,,4,4,4,3,5,4,3,5,4,,,,,,,,,,
,京阪カントリー倶楽部,曽束コース,C004405,,4,4,3,5,4,3,4,4,5,,,,,,,,,,
,京阪カントリー倶楽部,宇治コース,C004405,,4,5,3,5,4,4,3,4,4,,,,,,,,,,
,甲賀カントリー倶楽部,OUT,C004406,,4,5,4,3,4,4,4,3,5,,,,,,,,,,
,甲賀カントリー倶楽部,IN,C004406,,5,4,4,3,4,4,3,4,5,,,,,,,,,,
,コムウッドゴルフクラブ,OUT,C004407,,5,4,3,4,4,4,4,3,5,,,,,,,,,,
,コムウッドゴルフクラブ,IN,C004407,,5,4,3,4,4,4,3,5,4,,,,,,,,,,
,ザ・カントリークラブ（滋賀県）,OUT,C004408,,5,4,3,4,4,3,4,5,4,,,,,,,,,,
,ザ・カントリークラブ（滋賀県）,IN,C004408,,4,3,4,5,4,3,4,4,5,,,,,,,,,,
,滋賀甲南カントリークラブ,OUT,C004410,,5,3,5,3,4,5,3,4,4,,,,,,,,,,
,滋賀甲南カントリークラブ,IN,C004410,,4,4,4,4,5,3,4,3,5,,,,,,,,,,
,滋賀ゴルフ倶楽部【ＰＧＭ】,OUT,C004411,,5,4,4,3,5,4,4,3,4,,,,,,,,,,
,滋賀ゴルフ倶楽部【ＰＧＭ】,IN,C004411,,5,4,3,4,4,5,4,3,4,,,,,,,,,,
,瀬田ゴルフコース 東コース・西コース,東コースOUT,C004416,,4,4,4,3,4,5,3,5,4,,,,,,,,,,
,瀬田ゴルフコース 東コース・西コース,東コースIN,C004416,,4,3,4,4,5,4,3,5,4,,,,,,,,,,
,瀬田ゴルフコース 東コース・西コース,西コースOUT,C004416,,5,3,4,5,4,4,3,4,4,,,,,,,,,,
,瀬田ゴルフコース 東コース・西コース,西コースIN,C004416,,5,4,3,4,5,4,3,4,4,,,,,,,,,,
,瀬田ゴルフコース　北コース,OUT,C005239,,5,3,4,4,4,3,5,4,4,,,,,,,,,,
,瀬田ゴルフコース　北コース,IN,C005239,,4,3,5,4,4,4,3,4,5,,,,,,,,,,
,センチュリーゴルフクラブ,OUT,C004417,,5,4,4,4,4,3,4,3,5,,,,,,,,,,
,センチュリーゴルフクラブ,IN,C004417,,4,5,4,4,3,5,3,4,4,,,,,,,,,,
,双鈴ゴルフクラブ 土山コース【アコーディア・ゴルフ】,OUT,C004418,,5,3,4,4,3,4,4,5,4,,,,,,,,,,
,双鈴ゴルフクラブ 土山コース【アコーディア・ゴルフ】,IN,C004418,,4,4,4,5,3,4,4,3,5,,,,,,,,,,
